time;position_error
51.43s;0.0144nm;
102.86s;0.0276nm;
154.29s;0.0388nm;
205.71s;0.0472nm;
257.14s;0.0522nm;
308.57s;0.0534nm;
360.00s;0.0509nm;
411.43s;0.0446nm;
462.86s;0.0352nm;
514.29s;0.0233nm;
565.71s;0.0096nm;
617.14s;0.0048nm;
668.57s;0.0190nm;
720.00s;0.0318nm;
771.43s;0.0425nm;
822.86s;0.0500nm;
874.29s;0.0540nm;
925.71s;0.0540nm;
977.14s;0.0501nm;
1028.57s;0.0426nm;
1080.00s;0.0320nm;
1131.43s;0.0191nm;
1182.86s;0.0049nm;
1234.29s;0.0097nm;
1285.71s;0.0234nm;
1337.14s;0.0354nm;
1388.57s;0.0448nm;
1440.00s;0.0509nm;
1491.43s;0.0534nm;
1542.86s;0.0521nm;
1594.29s;0.0471nm;
1645.71s;0.0387nm;
1697.14s;0.0275nm;
1748.57s;0.0143nm;
1800.00s;0.0000nm;
1851.43s;0.0144nm;
1902.86s;0.0278nm;
1954.29s;0.0392nm;
2005.71s;0.0479nm;
2057.14s;0.0531nm;
2108.57s;0.0545nm;
2160.00s;0.0519nm;
2211.43s;0.0455nm;
2262.86s;0.0358nm;
2314.29s;0.0236nm;
2365.71s;0.0097nm;
2417.14s;0.0049nm;
2468.57s;0.0190nm;
2520.00s;0.0316nm;
2571.43s;0.0420nm;
2622.86s;0.0493nm;
2674.29s;0.0530nm;
2725.71s;0.0530nm;
2777.14s;0.0492nm;
2828.57s;0.0418nm;
2880.00s;0.0315nm;
2931.43s;0.0189nm;
2982.86s;0.0048nm;
3034.29s;0.0096nm;
3085.71s;0.0235nm;
3137.14s;0.0357nm;
3188.57s;0.0454nm;
3240.00s;0.0518nm;
3291.43s;0.0545nm;
3342.86s;0.0532nm;
3394.29s;0.0480nm;
3445.71s;0.0394nm;
3497.14s;0.0279nm;
3548.57s;0.0144nm;
3600.00s;0.0000nm;
3651.43s;0.0144nm;
3702.86s;0.0276nm;
3754.29s;0.0388nm;
3805.71s;0.0472nm;
3857.14s;0.0522nm;
3908.57s;0.0534nm;
3960.00s;0.0508nm;
4011.43s;0.0446nm;
4062.86s;0.0352nm;
4114.29s;0.0233nm;
4165.71s;0.0096nm;
4217.14s;0.0048nm;
4268.57s;0.0190nm;
4320.00s;0.0318nm;
4371.43s;0.0425nm;
4422.86s;0.0500nm;
4474.29s;0.0540nm;
4525.71s;0.0540nm;
4577.14s;0.0501nm;
4628.57s;0.0426nm;
4680.00s;0.0320nm;
4731.43s;0.0191nm;
4782.86s;0.0049nm;
4834.29s;0.0097nm;
4885.71s;0.0234nm;
4937.14s;0.0354nm;
4988.57s;0.0448nm;
5040.00s;0.0509nm;
5091.43s;0.0534nm;
5142.86s;0.0521nm;
5194.29s;0.0471nm;
5245.71s;0.0387nm;
5297.14s;0.0275nm;
5348.57s;0.0143nm;
5400.00s;0.0000nm;
5451.43s;0.0144nm;
5502.86s;0.0278nm;
5554.29s;0.0392nm;
5605.71s;0.0479nm;
5657.14s;0.0531nm;
5708.57s;0.0545nm;
5760.00s;0.0519nm;
5811.43s;0.0455nm;
5862.86s;0.0358nm;
5914.29s;0.0236nm;
5965.71s;0.0097nm;
6017.14s;0.0049nm;
6068.57s;0.0190nm;
6120.00s;0.0316nm;
6171.43s;0.0420nm;
6222.86s;0.0493nm;
6274.29s;0.0530nm;
6325.71s;0.0530nm;
6377.14s;0.0492nm;
6428.57s;0.0418nm;
6480.00s;0.0315nm;
6531.43s;0.0189nm;
6582.86s;0.0048nm;
6634.29s;0.0096nm;
6685.71s;0.0235nm;
6737.14s;0.0357nm;
6788.57s;0.0454nm;
6840.00s;0.0518nm;
6891.43s;0.0545nm;
6942.86s;0.0532nm;
6994.29s;0.0480nm;
7045.71s;0.0394nm;
7097.14s;0.0279nm;
7148.57s;0.0144nm;
7200.00s;0.0000nm;
7251.43s;0.0144nm;
7302.86s;0.0276nm;
7354.29s;0.0388nm;
7405.71s;0.0472nm;
7457.14s;0.0522nm;
7479.41s;0.0526nm;
7530.84s;0.1161nm;
7582.27s;0.1198nm;
7633.69s;0.1267nm;
7685.12s;0.1364nm;
7736.55s;0.1483nm;
7787.98s;0.1616nm;
7839.41s;0.1753nm;
7890.84s;0.1885nm;
7942.27s;0.2000nm;
7993.69s;0.2091nm;
8045.12s;0.2149nm;
8096.55s;0.2171nm;
8147.98s;0.2154nm;
8199.41s;0.2100nm;
8250.84s;0.2012nm;
8302.27s;0.1898nm;
8353.69s;0.1766nm;
8405.12s;0.1627nm;
8456.55s;0.1490nm;
8507.98s;0.1366nm;
8559.41s;0.1263nm;
8610.84s;0.1187nm;
8662.27s;0.1144nm;
8713.69s;0.1136nm;
8765.12s;0.1162nm;
8816.55s;0.1221nm;
8867.98s;0.1311nm;
8919.41s;0.1425nm;
8970.84s;0.1556nm;
9022.27s;0.1694nm;
9073.69s;0.1829nm;
9125.12s;0.1952nm;
9176.55s;0.2053nm;
9227.98s;0.2123nm;
9279.41s;0.2157nm;
9330.84s;0.2153nm;
9382.27s;0.2111nm;
9433.69s;0.2034nm;
9485.12s;0.1927nm;
9536.55s;0.1799nm;
9587.98s;0.1660nm;
9639.41s;0.1520nm;
9690.84s;0.1390nm;
9742.27s;0.1278nm;
9793.69s;0.1191nm;
9845.12s;0.1137nm;
9896.55s;0.1116nm;
9947.98s;0.1131nm;
9999.41s;0.1181nm;
10050.84s;0.1262nm;
10102.27s;0.1370nm;
10153.69s;0.1497nm;
10205.12s;0.1635nm;
10256.55s;0.1774nm;
10307.98s;0.1903nm;
10359.41s;0.2012nm;
10410.84s;0.2094nm;
10462.27s;0.2141nm;
10513.69s;0.2150nm;
10565.12s;0.2120nm;
10616.55s;0.2054nm;
10667.98s;0.1956nm;
10719.41s;0.1833nm;
10770.84s;0.1696nm;
10822.27s;0.1554nm;
10873.69s;0.1418nm;
10925.12s;0.1298nm;
